General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)
,,525,20.53559092,115.535358,0.003849,0.30767811,0.884018,0.984237,89.087668,-0.0051,100.505,0,277.506,352.364,361.381,1022.238,0,0
,,526,20.53577233,121.775852,0.00387904,0.30839042,0.848139,0.983923,88.910937,-0.005,100.5048,0,277.513,352.392,361.342,1022.241,0,0
,,527,20.53625567,119.843195,0.00386673,0.30893098,0.871707,0.983647,88.732103,-0.0051,100.5045,0,277.527,352.425,361.329,1022.246,0,0
,,528,20.53654678,121.09197,0.00384305,0.30943683,0.885539,0.983394,88.693817,-0.0051,100.504,0,277.517,352.434,361.305,1022.255,0,0
,,529,20.53654044,115.867072,0.00389,0.30936696,0.872052,0.983128,88.75806,-0.0051,100.5046,0,277.518,352.441,361.295,1022.257,0,0
,,530,20.53611931,115.096898,0.00391155,0.30985576,0.876206,0.982879,88.75732,-0.0051,100.5049,0,277.506,352.433,361.229,1022.259,0,0
,,531,20.53555567,120.2358,0.00393197,0.3106076,0.882741,0.982637,88.645005,-0.0052,100.5039,0,277.516,352.442,361.127,1022.274,0,0
,,532,20.53587892,114.973118,0.00395669,0.31143491,0.877741,0.982383,88.443732,-0.0053,100.5041,0,277.495,352.467,361.183,1022.295,0,0
,,533,20.5363946,115.058076,0.00394711,0.31203575,0.886565,0.982154,88.360786,-0.0054,100.5051,0,277.504,352.491,361.202,1022.309,0,0
,,534,20.53660266,119.080397,0.00392523,0.31252375,0.867385,0.981983,88.407445,-0.0053,100.5053,0,277.508,352.518,361.207,1022.318,0,0
,,535,20.53649132,117.006747,0.00390826,0.31248281,0.872649,0.98175,88.352506,-0.0052,100.505,0,277.513,352.524,361.241,1022.301,0,0
,,536,20.536019,116.900949,0.00391114,0.31249594,0.880911,0.981574,88.390421,-0.0052,100.5067,0,277.494,352.543,361.3,1022.302,0,0
,,537,20.53556435,123.177642,0.00393935,0.31309167,0.875538,0.981422,88.136786,-0.0053,100.5063,0,277.495,352.616,361.435,1022.283,0,0
,,538,20.53596375,119.896703,0.00395655,0.31352941,0.866187,0.981226,88.227289,-0.0053,100.5056,0,277.512,352.646,361.381,1022.27,0,0
,,539,20.53771287,118.447578,0.00399721,0.3136801,0.853224,0.981116,88.491011,-0.0053,100.5055,0,277.512,352.611,361.261,1022.272,0,0
,,540,20.53846755,117.058995,0.00399144,0.31342502,0.857446,0.980978,88.38301,-0.0053,100.5055,0,277.506,352.585,361.188,1022.248,0,0
,,541,20.53836907,118.606178,0.0039841,0.31326125,0.861107,0.980859,87.859787,-0.0052,100.5044,0,277.51,352.608,361.162,1022.244,0,0
,,542,20.53780407,122.264097,0.00399088,0.31313921,0.861914,0.980788,87.766277,-0.005,100.5037,0,277.497,352.634,361.132,1022.254,0,0
,,543,20.53756941,122.08955,0.00400531,0.31314832,0.861734,0.980697,87.832433,-0.0051,100.5045,0,277.501,352.643,361.135,1022.234,0,0
,,544,20.53943381,116.833816,0.00396957,0.31344082,0.876185,0.980617,87.88748,-0.005,100.5045,0,277.501,352.652,361.148,1022.234,0,0
,,545,20.54037559,120.666543,0.00390894,0.31367281,0.870654,0.980597,87.908932,-0.0051,100.5051,0,277.5,352.703,361.135,1022.228,0,0
,,546,20.54101353,121.994759,0.00384343,0.31340347,0.85024,0.980528,87.607662,-0.0051,100.505,0,277.489,352.699,361.119,1022.224,0,0
,,547,20.54197573,121.464344,0.00383007,0.31319122,0.86749,0.980512,87.679997,-0.0051,100.5048,0,277.484,352.7,361.139,1022.244,0,0
,,548,20.54161607,123.224997,0.00378673,0.31328606,0.873906,0.980512,87.666263,-0.0054,100.5047,0,277.482,352.778,361.109,1022.241,0,0
,,549,20.54155492,116.635601,0.00379991,0.31399095,0.861219,0.980474,87.659108,-0.0055,100.5043,0,277.494,352.768,361.048,1022.247,0,0
,,550,20.54201744,123.493829,0.00379318,0.3144233,0.846609,0.98052,87.731803,-0.0053,100.5035,0,277.488,352.719,360.847,1022.243,0,0
,,551,20.54239106,120.452513,0.0037845,0.31451603,0.880105,0.980555,87.607823,-0.0052,100.5049,0,277.488,352.665,360.759,1022.24,0,0
,,552,20.54245622,119.427145,0.00381883,0.31428382,0.871455,0.980583,87.463412,-0.0052,100.505,0,277.491,352.644,360.786,1022.235,0,0
,,553,20.54212774,121.023891,0.00382937,0.31343854,0.857895,0.980661,87.217991,-0.0053,100.5052,0,277.492,352.689,360.784,1022.238,0,0
,,554,20.54278942,117.167976,0.00384049,0.31315235,0.872634,0.980757,87.279984,-0.0054,100.5053,0,277.501,352.712,360.863,1022.224,0,0
,,555,20.54351367,120.057589,0.00387505,0.31331565,0.881408,0.98086,87.238612,-0.0053,100.5059,0,277.492,352.798,360.971,1022.232,0,0
,,556,20.54463208,115.392452,0.00392921,0.31365609,0.83768,0.981025,87.106818,-0.0054,100.5061,0,277.498,352.824,360.95,1022.234,0,0
,,557,20.54610981,113.656413,0.00392277,0.31295493,0.860533,0.981142,87.179944,-0.0053,100.5059,0,277.491,352.828,360.962,1022.24,0,0
,,558,20.54633902,118.808026,0.00396733,0.31251431,0.840313,0.981307,87.099803,-0.0053,100.5052,0,277.48,352.881,361.007,1022.248,0,0
,,559,20.54596551,121.723241,0.0040391,0.31236508,0.857078,0.981515,86.987712,-0.0054,100.5046,0,277.483,352.904,360.998,1022.243,0,0
,,560,20.54688458,121.669736,0.00407499,0.31234359,0.867906,0.981702,87.031555,-0.0052,100.5049,0,277.488,352.921,361.041,1022.25,0,0
,,561,20.54756806,117.510497,0.00417079,0.31248526,0.867183,0.981933,86.870134,-0.0053,100.5048,0,277.487,352.954,361.106,1022.266,0,0
,,562,20.54953033,121.120718,0.00418218,0.31223591,0.842288,0.982153,86.866249,-0.0054,100.5036,0,277.48,353.004,361.1,1021.998,0,0
,,563,20.55027889,120.817882,0.00415736,0.31210188,0.852335,0.982407,86.808916,-0.0053,100.504,0,277.476,352.983,361.015,1021.929,0,0
,,564,20.55180437,121.783155,0.00408029,0.3117245,0.865837,0.982671,86.911141,-0.0052,100.5053,0,277.466,352.96,361.034,1022.232,0,0
,,565,20.55176164,117.596157,0.0040168,0.31098059,0.857486,0.982962,86.811411,-0.0053,100.5044,0,277.475,352.994,361.088,1022.321,0,0
,,566,20.55123824,119.739453,0.00401933,0.31089187,0.862105,0.983229,86.626053,-0.0052,100.5046,0,277.476,353.034,361.106,1022.181,0,0
,,567,20.55154191,113.297399,0.00403532,0.3111607,0.858158,0.983579,86.782962,-0.0052,100.5043,0,277.469,353.017,361.053,1022.295,0,0
,,568,20.55207312,113.960795,0.0040123,0.31131742,0.863186,0.983882,86.539731,-0.0052,100.5033,0,277.482,353.049,361.126,1022.328,0,0
,,569,20.55226152,122.310838,0.00399152,0.31110267,0.862704,0.984228,86.55582,-0.0053,100.5029,0,277.482,353.076,361.12,1022.334,0,0
,,570,20.55211851,118.925018,0.00398506,0.3114789,0.852524,0.984588,86.474445,-0.0053,100.5035,0,277.476,353.104,361.143,1022.336,0,0
,,571,20.55155199,120.528208,0.00405784,0.31157414,0.846066,0.984908,86.530183,-0.0054,100.5047,0,277.471,353.138,361.098,1022.338,0,0
,,572,20.55124272,117.459902,0.00409845,0.3116484,0.863459,0.985249,86.516688,-0.0023,100.5048,0,277.461,353.127,361.025,1022.357,0,0
,,573,20.55136187,120.516339,0.00411382,0.31195091,0.844496,0.985635,86.468682,-0.0047,100.5045,0,277.459,353.142,361.077,1022.377,0,0
,,574,20.55044091,121.852805,0.00415201,0.3121173,0.846981,0.985991,86.308064,-0.0054,100.5044,0,277.459,353.151,361.059,1022.35,0,0
,,575,20.55032512,127.975757,0.00414781,0.31185471,0.834841,0.986422,86.255458,-0.0054,100.5042,0,277.455,353.175,361.03,1022.345,0,0
,,576,20.54853143,119.087797,0.00407759,0.31162062,0.848066,0.986833,86.055963,-0.0054,100.5051,0,277.467,353.191,361.031,1022.357,0,0
,,577,20.54752105,114.565497,0.00407499,0.31159616,0.862312,0.987225,86.04349,-0.0052,100.505,0,277.456,353.219,361.07,1022.346,0,0
,,578,20.54736896,117.06535,0.00410701,0.31233632,0.850105,0.98768,86.010912,-0.0052,100.5048,0,277.46,353.299,361.19,1022.318,0,0
,,579,20.54785967,113.302863,0.00410699,0.31283301,0.853573,0.988107,86.125757,-0.0052,100.5043,0,277.465,353.347,361.304,1022.327,0,0
,,580,20.54825104,110.987785,0.00408321,0.31287966,0.850079,0.988529,85.977338,-0.0051,100.5048,0,277.47,353.397,361.419,1022.336,0,0
,,581,20.54831759,112.939621,0.00412315,0.3126972,0.847331,0.989019,85.889306,-0.005,100.5048,0,277.481,353.488,361.501,1022.318,0,0
,,582,20.54807172,117.913705,0.00413893,0.31242567,0.859465,0.989463,85.895598,-0.0052,100.5038,0,277.478,353.517,361.477,1022.29,0,0
,,583,20.54743729,115.397524,0.00415074,0.31235971,0.875775,0.989927,85.76333,-0.0052,100.5036,0,277.476,353.493,361.415,1022.287,0,0
,,584,20.54760308,119.67847,0.00418431,0.31308096,0.884469,0.990398,85.753382,-0.0052,100.5045,0,277.487,353.534,361.517,1022.262,0,0
,,585,20.54962626,118.10709,0.00418187,0.3136136,0.883382,0.99083,85.862578,-0.0051,100.5054,0,277.47,353.62,361.673,1022.267,0,0
,,586,20.54875616,118.575684,0.00415623,0.31355451,0.883806,0.99131,85.824703,-0.005,100.504,0,277.48,353.714,361.707,1022.252,0,0
,,587,20.54837143,119.475633,0.00414317,0.31329342,0.87137,0.991724,85.577532,-0.005,100.5043,0,277.492,353.754,361.812,1022.258,0,0
,,588,20.54794449,122.92429,0.0042046,0.31316142,0.876304,0.99218,85.461868,-0.005,100.5036,0,277.498,353.818,361.879,1022.251,0,0
,,589,20.54732673,124.697924,0.00430591,0.31317516,0.868368,0.992674,85.516297,-0.0051,100.5038,0,277.49,353.891,361.954,1022.261,0,0
,,590,20.54758095,120.730291,0.00440687,0.31390157,0.872077,0.993117,85.710496,-0.0051,100.5043,0,277.488,353.924,361.943,1022.264,0,0
,,591,20.54808334,120.32566,0.00447077,0.31384783,0.857787,0.993525,85.56044,-0.0051,100.5042,0,277.494,353.882,361.816,1022.255,0,0
,,592,20.54831881,116.229454,0.00447278,0.31366136,0.864715,0.994022,85.278111,-0.0051,100.5044,0,277.49,353.87,361.918,1022.244,0,0
,,593,20.54829672,113.086979,0.0044552,0.31376149,0.888183,0.994486,85.388505,-0.005,100.5034,0,277.487,354.001,362.101,1022.233,0,0
,,594,20.5463337,109.092089,0.00451659,0.31389139,0.881197,0.994965,84.967884,-0.005,100.5042,0,277.5,354.061,362.131,1022.252,0,0
,,595,20.54535565,119.771053,0.0046582,0.3139364,0.8803,0.995427,84.972299,-0.0051,100.5042,0,277.512,354.117,362.258,1022.257,0,0
,,596,20.54569579,119.097824,0.00478823,0.31423429,0.881466,0.99589,85.185191,-0.005,100.5037,0,277.505,354.18,362.362,1022.248,0,0
,,597,20.54616253,119.43731,0.00485544,0.31446962,0.877175,0.996327,85.006126,-0.0051,100.5034,0,277.497,354.258,362.486,1022.256,0,0
,,598,20.54641377,119.720079,0.00491017,0.31423889,0.880027,0.996802,84.943099,-0.0053,100.5036,0,277.511,354.364,362.643,1022.246,0,0
,,599,20.54786848,119.119372,0.00497207,0.31409561,0.880517,0.997237,84.81654,-0.0052,100.5034,0,277.5,354.459,362.711,1022.245,0,0
,,600,20.54775245,118.094155,0.00499711,0.31456722,0.894199,0.997688,84.828889,-0.0051,100.5034,0,277.492,354.507,362.768,1022.229,0,0
,,601,20.54731241,120.453357,0.00508606,0.31476277,0.873429,0.998156,84.908589,-0.0052,100.5023,0,277.506,354.57,362.936,1022.225,0,0
,,602,20.5463304,119.42735,0.0050671,0.31552481,0.875514,0.998555,84.880758,-0.005,100.502,0,277.505,354.677,363.127,1022.227,0,0
,,603,20.54627992,118.270737,0.00498298,0.31657912,0.866223,0.998993,84.545933,0.001,100.5033,0,277.51,354.796,363.251,1022.248,0,0
,,604,20.54489016,120.28606,0.00493046,0.31665357,0.874791,0.999382,84.65899,-0.0038,100.5028,0,277.508,354.848,363.307,1022.251,0,0
,,605,20.54428585,116.236399,0.00485811,0.31698027,0.856575,0.999762,84.565707,-0.0053,100.503,0,277.496,354.889,363.354,1022.272,0,0
,,606,20.54373104,116.681462,0.00479899,0.31766454,0.861121,1.000166,84.403119,-0.0052,100.5031,0,277.493,354.953,363.461,1022.29,0,0
,,607,20.54330994,118.354873,0.00479101,0.31845354,0.855212,1.000569,84.446002,-0.0051,100.5027,0,277.491,355.029,363.611,1022.278,0,0
,,608,20.54233917,118.197001,0.00480517,0.31904773,0.865927,1.000933,84.351752,-0.0053,100.5026,0,277.501,355.083,363.604,1022.304,0,0
,,609,20.54100105,120.943009,0.00479214,0.3198081,0.877053,1.001326,84.085343,-0.0051,100.5019,0,277.509,355.128,363.593,1022.292,0,0
,,610,20.54059175,117.754129,0.00477079,0.32006579,0.889254,1.001627,84.436795,-0.0051,100.5017,0,277.516,355.189,363.686,1022.293,0,0
,,611,20.53872772,112.122027,0.00476464,0.32020972,0.885082,1.001938,84.258921,-0.0051,100.5006,0,277.504,355.25,363.742,1022.293,0,0
,,612,20.53768647,119.14389,0.00477482,0.32080735,0.861274,1.002235,84.120418,-0.0052,100.5013,0,277.506,355.27,363.775,1022.28,0,0
,,613,20.5361168,124.503949,0.00480548,0.32219253,0.876773,1.002515,84.19385,-0.0052,100.5017,0,277.496,355.351,363.957,1022.275,0,0
,,614,20.53542385,118.477633,0.00480529,0.32357454,0.870432,1.00282,84.02961,-0.0051,100.502,0,277.495,355.453,364.078,1022.259,0,0
,,615,20.53485255,116.627677,0.0047193,0.32485732,0.892239,1.003078,83.968371,-0.0052,100.5011,0,277.49,355.523,364.22,1022.26,0,0
,,616,20.53192549,114.478386,0.00468662,0.32620196,0.875436,1.003336,83.892774,-0.0051,100.5022,0,277.488,355.607,364.389,1022.25,0,0
,,617,20.52898092,119.596508,0.00468685,0.32744854,0.865929,1.003571,83.835294,-0.0052,100.5023,0,277.488,355.722,364.517,1022.28,0,0
,,618,20.52491842,117.690691,0.00470294,0.32854489,0.884744,1.003746,83.793423,-0.005,100.5021,0,277.486,355.796,364.562,1022.27,0,0
,,619,20.52264256,116.678616,0.00473556,0.33008404,0.87691,1.00394,83.831107,-0.0051,100.502,0,277.49,355.834,364.553,1022.262,0,0
,,620,20.52000388,114.327453,0.00473876,0.3312376,0.862977,1.004152,83.770414,-0.0051,100.5022,0,277.504,355.913,364.627,1022.27,0,0
,,621,20.51770109,116.131705,0.00465374,0.33226799,0.859525,1.004289,83.726917,-0.0052,100.5025,0,277.498,355.986,364.739,1022.263,0,0
,,622,20.51569308,116.289854,0.00461327,0.33293772,0.878381,1.004446,83.394207,-0.0052,100.5026,0,277.494,356.084,364.898,1022.284,0,0
,,623,20.51317679,122.121935,0.00460942,0.33364139,0.876822,1.004585,83.446927,-0.0051,100.5021,0,277.493,356.137,364.956,1022.277,0,0
,,624,20.51052941,116.936372,0.00463201,0.33420908,0.853892,1.004688,83.58667,-0.0051,100.5014,0,277.491,356.211,365.124,1022.287,0,0
,,625,20.50890137,116.139199,0.00465962,0.33557568,0.858707,1.004808,83.573769,-0.0052,100.5016,0,277.502,356.315,365.289,1022.314,0,0
,,626,20.50755443,114.035635,0.00469553,0.33628986,0.87486,1.004903,83.253943,-0.0053,100.5017,0,277.491,356.442,365.517,1022.309,0,0
,,627,20.50584895,119.001797,0.00475201,0.33678447,0.883047,1.00496,83.303449,-0.0053,100.5009,0,277.492,356.591,365.811,1022.301,0,0
,,628,20.50396846,120.505418,0.00482474,0.3374033,0.863894,1.005053,83.367316,-0.0052,100.5015,0,277.511,356.733,365.979,1022.302,0,0
,,629,20.50146962,116.854386,0.00497829,0.33820647,0.882262,1.005085,83.351852,-0.0051,100.5015,0,277.511,356.855,366.146,1022.312,0,0
,,630,20.49934073,120.733635,0.00514917,0.33922206,0.859762,1.005099,83.245557,-0.0053,100.5019,0,277.495,356.893,366.218,1022.32,0,0
,,631,20.49897945,114.571596,0.00526544,0.34045547,0.873801,1.005191,83.037976,-0.0053,100.5031,0,277.513,357.01,366.33,1022.41,0,0
,,632,20.49780773,118.989079,0.00527363,0.34162037,0.877528,1.005139,83.111015,-0.0052,100.5021,0,277.503,357.069,366.453,1022.323,0,0
,,633,20.49632071,117.889842,0.00520582,0.34220013,0.862314,1.005122,82.853414,-0.0053,100.5022,0,277.51,357.16,366.521,1022.289,0,0
,,634,20.49422308,116.618559,0.00512061,0.3427685,0.874974,1.005122,82.840751,-0.0051,100.5021,0,277.506,357.277,366.611,1022.287,0,0
,,635,20.49171297,113.1548,0.00503435,0.34346625,0.86265,1.005039,82.954532,-0.005,100.5011,0,277.518,357.391,366.879,1022.283,0,0
,,636,20.48945952,119.034938,0.00499395,0.34436985,0.856652,1.004996,82.888971,-0.0052,100.5011,0,277.516,357.546,367.06,1022.606,0,0
,,637,20.48929663,117.338942,0.00497282,0.3459276,0.865263,1.004968,82.676487,-0.0053,100.5016,0,277.504,357.639,367.178,1022.398,0,0
,,638,20.48811995,113.194624,0.00495143,0.34694,0.878435,1.004838,82.703597,-0.0052,100.5024,0,277.508,357.727,367.304,1022.265,0,0
,,639,20.4863614,120.101185,0.0049968,0.34767183,0.878109,1.004743,82.657457,-0.0051,100.5019,0,277.496,357.817,367.476,1022.225,0,0
,,640,20.4842349,117.403224,0.00507515,0.34822452,0.877603,1.004616,82.334168,-0.0053,100.5024,0,277.504,357.869,367.57,1022.228,0,0
,,641,20.48186436,117.411488,0.00520342,0.34925409,0.855232,1.004466,82.359375,-0.0053,100.5019,0,277.518,357.943,367.668,1022.217,0,0
,,642,20.48090785,116.968047,0.00535914,0.35050609,0.8469,1.004358,82.47628,-0.0051,100.5022,0,277.501,358.043,367.781,1022.214,0,0
,,643,20.47961036,117.93672,0.00548562,0.35208802,0.817265,1.004194,82.38251,-0.0052,100.5021,0,277.498,358.122,367.797,1022.21,0,0
,,644,20.47765462,119.629652,0.00554255,0.35322372,0.834831,1.004021,82.154528,-0.0051,100.5027,0,277.505,358.17,367.865,1022.223,0,0
,,645,20.47493412,118.6882,0.00554353,0.35381913,0.858532,1.003859,82.105511,-0.0051,100.5024,0,277.502,358.295,368.118,1022.232,0,0
,,646,20.47234377,119.027812,0.00560196,0.35443459,0.858366,1.003658,82.046536,-0.005,100.5023,0,277.51,358.443,368.296,1022.249,0,0
,,647,20.46972684,116.947036,0.00563708,0.35571973,0.850632,1.003469,82.009398,-0.0051,100.5016,0,277.499,358.512,368.355,1022.241,0,0
,,648,20.46797898,116.829534,0.00566822,0.35684066,0.875064,1.003277,81.869504,-0.0052,100.5021,0,277.496,358.59,368.487,1022.238,0,0
,,649,20.46797945,119.409358,0.0056601,0.35801544,0.860292,1.003033,81.972406,-0.0052,100.5008,0,277.502,358.681,368.641,1022.246,0,0
,,650,20.46671313,115.477321,0.00569331,0.35886235,0.86112,1.002793,81.94647,-0.0051,100.5008,0,277.498,358.771,368.764,1022.263,0,0
,,651,20.46510563,116.637968,0.00569922,0.35934811,0.852162,1.002574,81.722806,-0.0052,100.5011,0,277.494,358.851,368.896,1022.251,0,0
,,652,20.46359255,112.18657,0.00576253,0.36051422,0.853178,1.002337,81.819968,-0.0051,100.5003,0,277.499,358.913,368.897,1022.248,0,0
,,653,20.46168633,117.431979,0.00585439,0.36153888,0.853249,1.002133,81.880859,-0.0051,100.5006,0,277.502,358.94,368.89,1022.263,0,0
,,654,20.46011593,117.73958,0.00590195,0.36299704,0.86529,1.00188,81.452029,-0.0052,100.5007,0,277.502,359.018,369.043,1022.259,0,0
,,655,20.45811396,114.512215,0.00582897,0.36424564,0.868904,1.00165,81.475932,-0.0051,100.5,0,277.498,359.124,369.116,1022.266,0,0
,,656,20.45539879,121.960259,0.00574154,0.36507436,0.83116,1.001436,81.640985,-0.0051,100.4994,0,277.513,359.174,369.108,1022.277,0,0
,,657,20.45312733,117.964099,0.00570101,0.36573433,0.859564,1.001175,81.672633,-0.0051,100.4989,0,277.515,359.22,369.217,1022.266,0,0
,,658,20.4506618,109.010265,0.00569782,0.36653596,0.859692,1.000926,81.536154,-0.0052,100.499,0,277.519,359.35,369.39,1022.263,0,0
,,659,20.44958956,118.612481,0.00577669,0.36754083,0.845142,1.000717,81.607209,-0.0052,100.499,0,277.522,359.44,369.535,1022.276,0,0
,,660,20.44843978,117.395303,0.00588543,0.36863943,0.847683,1.00046,81.370811,-0.0051,100.4995,0,277.53,359.548,369.686,1022.256,0,0
,,661,20.44584144,113.933977,0.00597572,0.36976281,0.843625,1.000234,81.298991,-0.0053,100.4996,0,277.541,359.657,369.849,1022.249,0,0
,,662,20.44347297,115.303705,0.00601237,0.3704166,0.852626,1.000014,81.122196,-0.0052,100.5002,0,277.528,359.719,369.918,1022.259,0,0
,,663,20.4415901,115.495902,0.0060716,0.37093728,0.844696,0.99978,81.264097,-0.0052,100.4999,0,277.537,359.792,370.01,1022.255,0,0
,,664,20.44036974,112.124108,0.00609496,0.37160714,0.845748,0.99959,81.165394,-0.0052,100.4998,0,277.536,359.871,370.088,1022.264,0,0
,,665,20.43984143,110.493248,0.00616666,0.37248856,0.853497,0.999801,80.848028,-0.0054,100.4998,0,277.543,359.949,370.245,1022.268,0,0
,,666,20.43875732,115.906059,0.00621054,0.37357294,0.825878,1.000454,81.18178,-0.0052,100.5001,0,277.526,360.065,370.402,1022.279,0,0
,,667,20.43780045,118.281037,0.00619606,0.37448153,0.845133,1.001229,81.09484,-0.0051,100.4999,0,277.54,360.173,370.528,1022.211,0,0
,,668,20.43721812,116.190677,0.00617161,0.37496564,0.84787,1.001962,80.729477,-0.0052,100.5005,0,277.53,360.278,370.676,1022.224,0,0
,,669,20.435317,118.193775,0.00622481,0.37521719,0.845874,1.002639,80.809584,-0.0053,100.5002,0,277.543,360.351,370.805,1022.275,0,0
,,670,20.43425353,116.217699,0.00625038,0.37556519,0.866327,1.003371,80.766618,-0.0053,100.5003,0,277.545,360.412,370.952,1022.269,0,0
,,671,20.43248658,116.650219,0.00627059,0.37633929,0.873004,1.003986,80.747199,-0.0052,100.5015,0,277.545,360.516,371.137,1022.088,0,0
,,672,20.43259832,116.750523,0.00635239,0.37747121,0.839268,1.004664,80.554002,-0.0052,100.5013,0,277.541,360.58,371.212,1022.168,0,0
,,673,20.43301631,114.682242,0.00631025,0.37833453,0.84149,1.005286,80.637858,-0.0052,100.5008,0,277.546,360.656,371.346,1022.254,0,0
,,674,20.43191989,117.04137,0.00625311,0.37885105,0.865513,1.005831,80.637895,-0.0053,100.5007,0,277.552,360.749,371.381,1022.258,0,0
,,675,20.43092521,120.888726,0.00624524,0.37944083,0.841454,1.006382,80.548798,-0.0054,100.5,0,277.541,360.754,371.385,1022.242,0,0
,,676,20.42868663,118.422759,0.00619896,0.38022718,0.857144,1.006931,80.411471,-0.0053,100.5001,0,277.562,360.785,371.432,1022.245,0,0
,,677,20.42692265,117.775059,0.00621419,0.38121775,0.820577,1.007423,80.649162,-0.0053,100.4999,0,277.553,360.798,371.422,1022.247,0,0
,,678,20.4268876,119.502576,0.00614273,0.38229254,0.862484,1.007918,80.366465,-0.0053,100.4996,0,277.554,360.856,371.32,1022.251,0,0
,,679,20.42575273,115.889646,0.00605331,0.38284248,0.854857,1.008345,80.304093,-0.0053,100.4998,0,277.557,360.855,371.212,1022.262,0,0
,,680,20.42532633,116.369357,0.00601601,0.38296773,0.86362,1.008748,80.418122,-0.0053,100.5009,0,277.562,360.849,371.137,1022.28,0,0
,,681,20.4249374,119.039135,0.00600923,0.38339445,0.832067,1.009111,80.1752,-0.0053,100.5008,0,277.554,360.843,371.179,1022.303,0,0
,,682,20.42430383,117.756594,0.00602916,0.38412965,0.847374,1.009454,80.273299,-0.0053,100.5007,0,277.543,360.854,371.088,1022.307,0,0
,,683,20.42295609,113.948984,0.00600327,0.38490652,0.853845,1.009767,80.0608,-0.0054,100.5009,0,277.546,360.851,371.05,1022.32,0,0
,,684,20.42173088,112.229582,0.00597168,0.38552881,0.83878,1.010073,80.073254,-0.0054,100.5005,0,277.553,360.83,371.006,1022.309,0,0
,,685,20.42144481,115.670375,0.00594457,0.38603596,0.851487,1.010294,80.036441,-0.0053,100.5006,0,277.553,360.861,371.006,1022.315,0,0
,,686,20.42134978,118.250878,0.00593162,0.3859491,0.843154,1.010534,79.784645,-0.0052,100.5,0,277.546,360.878,370.884,1022.339,0,0
,,687,20.42086719,119.65034,0.0058749,0.38642528,0.815118,1.010756,79.681525,-0.0052,100.5005,0,277.542,360.803,370.779,1022.348,0,0
,,688,20.42029015,114.170943,0.00586529,0.38658606,0.847465,1.010893,79.772409,-0.0053,100.5007,0,277.556,360.805,370.649,1022.332,0,0
,,689,20.41911185,116.103319,0.00590005,0.38683435,0.845919,1.01105,79.739576,-0.0052,100.4993,0,277.538,360.801,370.644,1022.337,0,0
,,690,20.41921195,117.911885,0.00589267,0.3871326,0.869263,1.011144,79.772935,-0.0052,100.4999,0,277.537,360.818,370.685,1022.333,0,0
,,691,20.42096991,116.030953,0.00593068,0.38702543,0.858787,1.01122,79.727705,-0.0053,100.5001,0,277.534,360.848,370.68,1022.32,0,0
,,692,20.42125355,120.723878,0.00599488,0.38678915,0.86754,1.011285,79.394991,-0.0053,100.5003,0,277.544,360.833,370.542,1022.318,0,0
,,693,20.42079426,117.519831,0.00610338,0.38661302,0.871469,1.011302,79.371035,-0.0054,100.4995,0,277.529,360.78,370.448,1022.309,0,0
,,694,20.42184084,111.252791,0.00625181,0.38670135,0.865466,1.011298,79.473163,-0.0053,100.5002,0,277.527,360.755,370.374,1022.316,0,0
,,695,20.42274453,113.962176,0.00641458,0.38706087,0.877601,1.011274,79.373574,-0.0053,100.5004,0,277.529,360.752,370.389,1022.302,0,0
,,696,20.42476932,111.627817,0.0064853,0.38667802,0.8681,1.01118,79.283775,-0.0053,100.5008,0,277.535,360.761,370.257,1022.291,0,0
,,697,20.42669616,119.700276,0.00654421,0.38618611,0.877033,1.011069,79.320698,-0.0051,100.5003,0,277.546,360.753,370.103,1022.283,0,0
,,698,20.42705549,120.189621,0.00655429,0.38589678,0.875652,1.010875,79.546116,-0.003,100.4999,0,277.543,360.752,370.093,1022.268,0,0
,,699,20.42798471,121.037021,0.00656155,0.38520474,0.872949,1.010677,79.398923,-0.0048,100.4992,0,277.537,360.748,370.019,1022.27,0,0
,,700,20.42941301,122.749135,0.0065014,0.38514882,0.839827,1.010505,79.051044,-0.0053,100.4986,0,277.538,360.713,369.924,1022.275,0,0
,,701,20.43054889,117.958276,0.00640331,0.38482117,0.841173,1.010277,79.347614,-0.0052,100.4992,0,277.538,360.654,369.735,1022.267,0,0
,,702,20.43264605,118.749789,0.0062515,0.38440908,0.86908,1.010034,79.228671,-0.0052,100.4989,0,277.543,360.524,369.453,1022.265,0,0
,,703,20.43468374,112.925534,0.00612149,0.38380413,0.847792,1.009696,78.971498,-0.0052,100.4999,0,277.544,360.451,369.263,1022.265,0,0
,,704,20.43616538,119.633985,0.00602851,0.3829441,0.845217,1.009351,78.906344,-0.0052,100.499,0,277.522,360.427,369.171,1022.284,0,0
,,705,20.43741739,116.343694,0.00598144,0.38271821,0.865157,1.008966,79.194222,-0.0008,100.4988,0,277.519,360.375,369.037,1022.276,0,0
,,706,20.43804133,117.876275,0.00598173,0.38231609,0.877037,1.008588,79.04054,-0.0042,100.4992,0,277.506,360.325,368.9,1022.283,0,0
