Time (s),HRR (kW/m2),MLR (g/s),Specimen mass (g)
660,158.556408497593,-0.0677274999999931,76.695939
661,155.935718840048,-0.0017100000000051302,76.819317
662,158.731790817381,0.0509084166666559,76.695584
663,158.358138410693,0.0460992500000058,76.72972299999999
664,154.094073717896,0.12069258333332902,76.590088
665,153.924407798137,0.0271220833333376,76.52854
666,154.467853915506,-0.0449240833333325,76.53443100000001
667,152.672318282812,-0.10957383333333502,76.609932
668,155.337351679881,0.0190179999999908,76.702135
669,151.637543938795,0.23511200000000199,76.555286
670,149.02694352803002,0.0587181666666687,76.325479
671,146.08214561868098,0.0092285833333321,76.418028
672,145.213764882644,-0.0813569166666639,76.308689
673,145.534702869007,0.0194168333333273,76.53170899999999
674,144.88912910174,0.178483000000008,76.25864399999999
675,142.59306549042,0.0220888333333373,76.25067
676,145.84880320737102,-0.0753270000000062,76.202173
677,144.47989063338002,0.0534949166666602,76.345007
678,142.403406173537,0.11685591666667,76.10941600000001
679,140.373736858002,0.0218637500000073,76.150553
680,146.958330334769,0.0120613333333341,76.048812
681,145.17940864400802,0.00376533333333147,76.12254
682,140.78711033186198,0.0428768333333333,76.030048
683,142.248494771888,0.0260552500000083,76.045625
684,142.048771664849,0.169108750000004,75.948014
685,138.34721893033702,0.00329133333333213,75.778931
686,138.110958338011,-0.10562366666667698,75.925801
687,139.59374155777002,0.138882083333327,75.90741700000001
688,140.516211645769,0.13779008333334303,75.70841800000001
689,137.558046662099,-0.18034699999999898,75.706452
690,136.19650834346,-0.0922825833333375,75.971562
691,136.163341824893,0.15392433333333,75.848405
692,134.85414675549,0.0811034999999952,75.736651
693,134.961400330554,0.0878971666666726,75.674256
694,131.44496260719998,0.160816749999994,75.551612
695,132.941334864757,-0.0881307499999977,75.422859
696,130.501335949381,-0.0232770833333298,75.655276
697,131.122134218014,0.13544758333333,75.445999
698,127.786301369114,-0.0294684999999942,75.45740699999999
699,127.399208149897,0.0036685833333294205,75.465278
700,126.369926863999,0.0135642499999946,75.45588599999999
701,126.877494108216,-0.166929333333332,75.47785400000001
702,125.158542997823,-0.0692655833333274,75.720786
703,127.26203690643801,0.17342508333333403,75.581326
704,124.933721303628,0.0775902500000013,75.452475
705,125.28020376243201,0.0771629166666656,75.412467
706,122.879538768809,0.0790251666666677,75.300997
707,121.25069221966999,-0.11306358333332599,75.295457
708,121.521807206229,-0.061880833333344,75.464697
709,119.208609838972,0.22414983333333702,75.36530400000001
710,121.813386966192,0.0869584166666719,75.117203
711,119.416114546381,-0.0939474999999987,75.205303
712,117.274237513545,0.051864166666661,75.22819
713,117.656713153368,0.0694350833333317,75.12583000000001
714,114.336943925051,0.0371115833333325,75.103789
715,115.189585198668,0.060533833333339004,75.043316
716,116.384490384482,-0.0515306666666658,75.013417
717,115.163014260038,-0.11631358333333,75.12926
718,114.30700638940701,0.12295983333333198,75.172973
719,113.06673183535901,0.21461758333332998,74.924001
720,110.121208864033,-0.14153808333332998,74.846863
721,112.77492195814501,-0.000999583333335607,75.095791
722,111.494255718556,0.11158316666667098,74.848836
723,111.743108288741,-0.00520124999999301,74.92779
724,110.15585210959499,-0.0330800833333349,74.841853
725,108.074126283476,-0.0107621666666683,74.977512
726,106.743292217332,0.0854284166666659,74.849651
727,106.122876000577,-0.0885498333333352,74.861028
728,105.750824418683,0.13455583333333002,74.93512199999999
729,102.550699274568,0.369113166666665,74.598682
730,102.970474503151,-0.0974304166666589,74.365553
731,102.35154492595699,-0.336772499999999,74.733834
732,100.649092169494,0.22271008333332998,74.847173
733,101.448522088209,0.26205574999999803,74.410372
734,99.1969633809801,-0.20797308333332698,74.450378
735,97.6934698756603,-0.148334416666676,74.704143
736,97.3516158759982,0.0348554166666671,74.70166400000001
737,97.6272880002596,0.224476083333335,74.640647
738,100.314326393354,-0.0227028333333372,74.360675
739,98.220797116665,-0.21541008333333897,74.669944
740,95.2064618570714,0.137375249999999,74.663606
741,96.6585931536779,0.10377283333333502,74.479174
742,94.70559846719591,-0.007071750000001491,74.483018
743,94.2139933090542,-0.0252114166666644,74.470514
744,92.2046585032272,0.0344189999999998,74.509465
745,91.7841849224127,0.17829666666667005,74.38821300000001
746,91.0985809917687,-0.059538083333333006,74.237638
747,91.16896787535579,0.0397417499999998,74.435458
748,89.08474784928758,0.0612569999999965,74.17296800000001
749,90.86188004314221,-0.0942985833333291,74.34775400000001
750,87.2803629824399,0.16089483333333898,74.27109
751,86.9113710487711,0.13754524999999898,74.088851
752,86.5969348574479,-0.00361983333332579,74.032482
753,85.1491440246863,-0.129509749999999,74.089433
754,86.73624921491378,-0.0267906666666621,74.23230799999999
755,84.5097869653081,0.101768249999998,74.133342
756,83.7334224217678,0.10807608333333399,74.06226600000001
757,82.25777393516029,-0.0261479166666637,73.950316
758,82.54805856224259,0.070667083333331,74.06501300000001
759,82.8769479646481,0.0228171666666685,73.841543
760,83.103708460512,-0.13663025000000198,74.040087
761,82.7319334487791,0.0970869999999936,74.024714
762,82.1998015012075,0.1353055,73.89081800000001
763,81.70843115584991,-0.0593993333333339,73.812435
764,78.44882744901,-0.0731134999999957,73.965521
765,79.79156551605601,0.12197249999999901,73.90954599999999
766,78.8197978347007,0.020371333333338,73.79034399999999
767,78.6695625712409,-0.100927833333331,73.874689
768,77.36374134802558,0.0366861666666658,73.93112099999999
769,76.2194764061113,0.0629744166666721,73.824628
770,73.4207255279949,-0.00550141666666448,73.83009
771,73.913414769994,-0.000913666666663223,73.82213399999999
772,75.7591775904782,-0.0982395833333361,73.845152
773,75.0055345799938,0.17513341666666002,73.93415999999999
774,72.56907509113009,0.26224991666666897,73.547423
775,73.5737895951838,-0.20658691666666198,73.541903
776,71.5724024128197,-0.22150599999999898,73.854095
777,71.9678407911269,0.0393359166666585,73.908493
778,71.7510914034028,0.0837176666666638,73.822071
779,69.8218662349085,0.0948794166666715,73.75774200000001
780,68.4564362776635,0.0222029166666668,73.652699
781,67.0722116065622,0.0508904999999977,73.69207
782,67.563680408579,0.0421134166666685,73.56313
783,67.0427409205996,-0.17640591666667602,73.651876
784,65.9942724341862,-0.0762318333333359,73.836508
785,65.9087987406567,0.194796500000001,73.76222299999999
786,65.8389370618435,0.12932600000000502,73.531124
787,64.9617116920822,-0.0961709999999971,73.546362
788,63.05666947927529,-0.0769804166666669,73.661532
789,63.3821812089258,0.13110891666666302,73.65143499999999
790,63.8771342555119,0.154752416666668,73.44794300000001
791,64.6336257405844,-0.123313666666666,73.410957
792,63.086928846938704,0.0434792500000055,73.594737
793,64.3720629578446,0.10609749999999499,73.346023
794,63.2227876002849,-0.130435666666667,73.450222
795,59.1676943780041,-0.0142632499999908,73.52800699999999
796,61.0796538914435,0.0408784166666637,73.485381
797,61.0966177317196,0.0687298333333324,73.456136
798,61.233919093848,0.0361271666666667,73.36579499999999
799,58.921657276214,-0.0440518333333297,73.396077
800,57.6029538710277,-0.05872433333333401,73.438435
801,57.400514774456994,-0.0748150833333353,73.508634
802,57.316526506034606,0.005526166666663571,73.561559
803,56.6291092330432,0.159890250000001,73.483288
804,57.173877418341206,0.0771664999999982,73.30198100000001
805,57.56334208590879,-0.0840605833333411,73.350693
806,55.8836835625756,-0.0647012499999929,73.426797
807,55.7350645529852,-0.0394149999999923,73.473089
808,56.0245028290045,-0.0153526666666638,73.504734
809,56.2815064039762,0.0164884999999977,73.501209
810,55.364800368694404,0.0811609166666625,73.467525
811,57.430427651517704,-0.0125864166666609,73.37327900000001
812,55.905955763272196,0.0692899166666704,73.455225
813,55.5986334239516,0.0675870833333292,73.251772
814,54.995425912734696,0.0459094999999993,73.326948
815,55.258605496178596,0.0375799166666712,73.158108
816,53.13681369361171,-0.0203451666666759,73.256827
817,53.1825979942348,0.19552283333332998,73.141763
818,50.9308927660394,0.037391833333338995,72.952046
819,52.1822962287161,-0.0908083333333316,73.06613399999999
820,52.180005834239395,-0.0976798333333295,73.100497
821,51.6785669127385,-0.0328379166666733,73.239671
822,49.8516651276908,0.0290850833333292,73.168184
823,50.0216973351629,-0.0535534999999996,73.213575
824,50.70208023857389,0.0331462500000003,73.24075
825,49.815950240646295,-0.0300481666666694,73.177557
826,48.647515264572895,0.00116508333332869,73.277795
827,48.585584824570894,0.15853625000000598,73.149357
828,48.31282844827889,0.0348756666666669,73.029131
829,47.3926551013678,-0.138344583333333,73.09068
830,48.0592195033988,0.0322839166666711,73.226887
831,47.5250196716687,-0.026585999999997,73.07127
832,46.6095843038713,-0.00914616666666982,73.261258
833,45.581877795058794,0.217034083333323,73.046616
834,45.597061392238,0.0591296666666672,72.919901
835,45.725839311536795,-0.16017724999999,72.944823
836,45.538068802081696,-0.0442909166666693,73.15647
837,46.2629195098324,0.127163999999995,73.017041
838,45.8877169245836,0.0237009166666624,72.966154
839,44.2782956255773,0.0578543333333326,72.948263
840,43.399771289661,-0.116365666666666,72.89065699999999
841,43.3849322067551,0.0342159166666628,73.10731700000001
842,44.70587233816379,0.0884931666666707,72.842198
843,44.5581395787535,-0.0269134999999944,72.971182
844,44.665785846117295,0.0124648333333267,72.863495
845,44.73579340093799,-0.0122092500000003,72.95473100000001
846,43.056635078517104,0.10000700000000401,72.860168
847,43.2069553249882,0.0482549166666573,72.798055
848,43.30719075722429,-0.22272858333332995,72.810171
849,41.5921022509172,-0.0337451666666576,73.133814
850,42.1023046334198,0.17100200000000398,72.873497
851,41.6475234803168,-0.0910775000000032,72.899721
852,41.3556705958916,-0.0354234166666707,72.989451
853,41.2391369557166,-0.0179207500000018,72.96851600000001
854,41.6324626149664,0.149060916666663,72.998776
855,40.38228057161879,-0.077518166666664,72.759272
856,39.6556005481937,-0.107742916666669,73.10423
857,39.5166297353545,0.26951241666666104,72.88193000000001
858,38.6874728025117,0.12208791666667099,72.687125
859,38.384955982419,-0.0696984166666693,72.656581
860,38.7065801078003,-0.0162184999999996,72.76649300000001
861,38.3176076776096,0.0622271666666686,72.680493
862,37.0153278112491,-0.0482600000000109,72.683799
863,37.917853492828996,0.0038575833333366,72.741755
