Exported data
Parameter,Value,Time (s),HRR (kW/m²),EHC (MJ/kg),SEA (m²/kg),MLR (g/s),Specific MLR (g/s·m²),COY (kg/kg),CO2Y (kg/kg),THR (MJ/m²),MFR (g/s),k (1/m),V stack (l/s),V smoke (l/s),SPR (m²/s),RSR ((m²/s)/m²),TSP (m²),TSR (m²/m²),COP (g/s),CO2P (g/s),O2C (g/s),TOC (g),ARHE(kW/m²),Specimen mass (g)
,,1042,13.5872429367535,0,0,-0.154591750000003,-17.4877545248872,0,0,98.1270139827918,25.8220218184589,0.00313705431377032,24.5455576294957,24.6561034443192,7.73475356707689E-05,0.00874972122972499,11.5433412955346,1305.80783886138,0.00151804756889029,0.0111504893648837,0.00958855389072134,63.0096834777958,94.1717984479767,71.554822
,,1043,13.4319991835335,0,0,-0.0370973333333389,-4.19653092006096,0,0,98.1405236038519,25.8268456561536,-0.00618076888287353,24.5499236317313,24.6632688845727,-0.00015243796487171,-0.0172441136732704,11.5433799693024,1305.81221372199,0.00148827399709767,0.011177249192368,0.00949629226404987,63.0192259008732,94.0944617486595,71.582294
,,1044,13.5639931255975,0,0,-0.0734219166666676,-8.30564668174973,0,0,98.1540216000065,25.9398776253573,-0.0100456844108273,24.6583953572769,24.7712818709383,-0.000248844480127094,-0.0281498280686758,11.5433799693024,1305.81221372199,0.00147427199729693,0.0109216504299426,0.0095233002331878,63.0287356971218,94.0172620689717,71.65292
,,1045,13.8640050660128,1.44970483086129,-1.25797819715191,0.0845398333333414,9.56332956259518,0.0172965703838428,0.128012958646558,98.1677355991023,26.05104634931,-0.00427516851448987,24.7634820359102,24.8760409709581,-0.0001063492671242,-0.0120304600819231,11.5433799693024,1305.81221372199,0.00146224917748848,0.010822194188488,0.00966639701135601,63.0383305457441,93.9404168412462,71.689192
,,1046,14.0405595899496,2.15795480056065,-2.58431047911591,0.0575167500000037,6.50641968325834,0.0249306763103715,0.186385973046733,98.1816878814303,25.798888049939,-0.00603465961085662,24.5205725170699,24.6312384351037,-0.0001486411397497,-0.0168146085689706,11.5433799693024,1305.81221372199,0.00143393147667465,0.0107203154152364,0.00973698286836896,63.0480322356839,93.8639463493597,71.528943
,,1047,13.7729362726919,0,0,-0.114334500000004,-12.9337669683263,0,0,98.1955946293616,25.5044148837028,-0.0031231771223877,24.2365019187443,24.3457602499266,-7.60361214397066E-05,-0.00860137120358672,11.5433799693024,1305.81221372199,0.00140477796404419,0.0106792971300957,0.00957468974792481,63.0576880719921,93.7875784425612,71.604956
,,1048,13.6182982511007,1.0736841045604,-1.69330507568246,0.112123999999999,12.6837104072397,0.0124249087738192,0.0969769656118133,98.2092902466235,25.7095530732428,-0.00773743460694703,24.4286758100591,24.5378666121912,-0.000189860138305818,-0.0214773912110654,11.5433799693024,1305.81221372199,0.00139313047135569,0.0108734452922589,0.00951452917467878,63.0672326814534,93.7111548154804,71.669233
,,1049,13.6294003218667,1.29079519158607,0.19116999266457,0.0933408333333314,10.5589177978882,0.0147270720573925,0.114387089075529,98.22291409591,25.7838465320479,0.000725293054604649,24.4964937293325,24.6024228556337,1.78439664236378E-05,0.00201854823796808,11.5433888912856,1305.81322299611,0.00137463717839704,0.0106769862168839,0.00948307128142496,63.0767314816814,93.6348084803717,71.439498
,,1050,14.0108760114035,0,0,-0.225945416666673,-25.5594362745106,0,0,98.2367342340766,26.3598193807558,-0.00709728580305133,25.040350451575,25.1491683224749,-0.000178490835293649,-0.02019127096082,11.5433978132688,1305.81423227023,0.00136913527112096,0.0107367927547882,0.00969539244829841,63.0863207135463,93.5587945086444,71.550767
,,1051,14.124544211602,0,0,-0.0628594999999971,-7.11080316742049,0,0,98.2508019441881,26.1130474916333,-0.00969172828578417,24.8049698209258,24.9158743004242,-0.000241477883722464,-0.0273165026835366,11.5433978132688,1305.81423227023,0.00133273602408366,0.0105530038242752,0.00971604292902334,63.096026431235,93.4831607461352,71.777318
,,1052,14.3647497887234,0.928119545767139,-1.53296078680849,0.136819,15.477262443439,0.00958280251210796,0.0766410656013531,98.2650465911883,26.0028738156795,-0.00845321805321821,24.6997996907252,24.8116351157536,-0.000209738161890351,-0.0237260364129356,11.5433978132688,1305.81423227023,0.0013111094569041,0.0104859539545116,0.00982864815165708,63.1057987767753,93.4078389650078,71.660448
,,1053,13.8699695963705,1.21015247728738,-2.16120214367645,0.101318249999994,11.4613404977369,0.0125337937142428,0.102221546815529,98.2791639508808,25.4544304713738,-0.00901517268071826,24.1797772510097,24.2889655970613,-0.000218969219093533,-0.0247702736531146,11.5433978132688,1305.81423227023,0.001269902044988,0.0103569082356419,0.00952552195081777,63.1154758618266,93.3325393645592,71.562632
,,1054,13.5525521803976,4.12247297467572,-7.40132023296937,0.0290613333333347,3.28748114630483,0.0424834083687277,0.349064531779197,98.2928752117692,25.229932520624,-0.00893350266988846,23.9666641063416,24.0770325308206,-0.000215092234397078,-0.0243317007236513,11.5433978132688,1305.81423227023,0.00123462449173978,0.0101442807128797,0.00930727102148747,63.1248922583127,93.2569973546197,71.475107
,,1055,13.8205459073356,0,0,-0.0742369166666658,-8.39784125188527,0,0,98.3065617608131,25.7641020415479,-0.0139310600599947,24.473577000597,24.588178807698,-0.000342539395735929,-0.0387488004226164,11.5433978132688,1305.81423227023,0.00123567841272464,0.0102157787488702,0.00946230876318749,63.134277048205,93.1815751287328,71.510409
,,1056,13.21601879124,0,0,-0.0694787499999971,-7.85958710407207,0,0,98.3200800431623,25.8281949353822,-0.00941346928185644,24.5365802423769,24.6526372189734,-0.000232066843177557,-0.0262519053368277,11.5433978132688,1305.81423227023,0.00121665170269121,0.0101480844013884,0.00911488442954476,63.1435656448014,93.1061364045098,71.5914
,,1057,13.1641291127988,0.774102982486138,-1.10607684566761,0.15033,17.0056561085973,0.00790502023751463,0.0669717474520748,98.3332701171144,25.7086707274395,-0.00677504906811108,24.4255080998274,24.5424838311276,-0.000166276532209212,-0.0188095624671055,11.5433978132688,1305.81423227023,0.00118836169230558,0.0100678627944704,0.00906375680931085,63.1526549654208,93.0305299121233,71.602133
,,1058,13.0037002460342,0,-1053.49213890277,0.000288333333338405,0.0326168929115843,3.93685458130573,34.0973299572272,98.3463540317938,25.0618253717788,-0.0126946798405627,23.8116574735019,23.9278897830145,-0.00030375690005564,-0.0343616402777873,11.5433978132688,1305.81423227023,0.00113512640429645,0.00983139680450676,0.00892211491447678,63.1616479012827,92.9549660035858,71.375154
,,1059,13.0488092925192,0,0,-0.0508255833333304,-5.74950037707357,0,0,98.3593802865631,25.584786432993,-0.00321839717433836,24.3073724334778,24.4284931243718,-7.86205932448223E-05,-0.00889373226751384,11.5433978132688,1305.81423227023,0.00113211297780485,0.0101568112772047,0.00899281493469502,63.1706053662073,92.8794903555836,71.584401
,,1060,12.9218303074164,53.5908890066052,-43.9942235704674,0.00213149999999966,0.241119909502224,0.525072329180476,4.73514150908364,98.372365606363,25.855830892097,-0.00379896744004444,24.5642251346908,24.6839934851717,-9.37736875404361E-05,-0.0106078832059317,11.5433978132688,1305.81423227023,0.001119191669648,0.0100929541266102,0.00890767754512213,63.1795556124472,92.8041184965689,71.453004
,,1061,12.2003617914328,0,0,-0.122892583333336,-13.901875942685,0,0,98.3849267024125,25.9797032473955,-0.00839495557726254,24.6781580559466,24.7948222645398,-0.000208151431456932,-0.0235465420200149,11.5433978132688,1305.81423227023,0.00110649898620266,0.0100080355482317,0.00849619187834678,63.188257547159,92.7284888806903,71.615026
,,1062,12.0130589095848,0,0,-0.00232433333333878,-0.262933634993074,0,0,98.397033412763,25.6761185013151,0.00862097474436949,24.3881830798476,24.5015211352197,0.000211226994905364,0.0238944564372583,11.5435034267663,1305.82617949845,0.00108861026771672,0.00979505887223593,0.00835596759568196,63.196683626896,92.6525738349934,71.645732
,,1063,12.2969125445408,0,0,-0.0588441666666609,-6.65657993966752,0,0,98.40918839849,25.6616757284998,-0.00860093298715015,24.3693060286062,24.4838155227596,-0.000210583656581002,-0.0238216806087107,11.5436090402638,1305.83812672667,0.00108990884540972,0.0097412052920313,0.00850297489943175,63.2051130981435,92.5768470352681,71.651514
,,1064,11.5828548703929,0.927364126479863,-2.60299575685413,0.110412333333336,12.4900829562598,0.00969376490835239,0.0875898004200027,98.4211282821975,25.3613691846748,-0.0118780781005677,24.0818256239416,24.196072187579,-0.000287402835171038,-0.0325116329379002,11.5436090402638,1305.83812672667,0.001070311202316,0.00967099424057373,0.00809684316031309,63.2134130071734,92.5010604155991,71.717016
,,1065,12.0399715675943,1.28780526020831,-0.293473605155784,0.0826470833333275,9.34921757164338,0.0130450341908229,0.120446496607982,98.4329396954165,25.7930879115733,-0.000985695959954072,24.4899373176963,24.6067129082808,-2.42547375014421E-05,-0.00274374858613598,11.5436090402638,1305.83812672667,0.00107813402785505,0.00995455164236723,0.00839028082880858,63.221656569168,92.425295488654,71.479168
,,1066,12.0724877387386,0,0,-0.127934083333335,-14.4721813725492,0,0,98.4449959250697,25.7591694366169,-0.00794128838064594,24.4566384990106,24.5761049668488,-0.000195165936814771,-0.0220775946623044,11.5436090402638,1305.83812672667,0.00106118398988391,0.00971492233843192,0.00836497810407604,63.2300341986344,92.3499023687333,71.591912
,,1067,12.0638328934297,1.83433271937412,-3.98507190071486,0.05813791666667,6.5766874057319,0.0176426677553751,0.164023139402724,98.4570640853857,25.6943393858363,-0.00944913202194402,24.3971963993686,24.5190539762173,-0.000231683778074449,-0.0262085721803675,11.5436090402638,1305.83812672667,0.00102570794773974,0.00953596361000117,0.00831930783485194,63.2383763416039,92.2746617482528,71.642447
,,1068,11.4902705793127,0.595162143158423,-0.994133296595052,0.17066608333334,19.3061180241334,0.00590443050435379,0.0558470589707845,98.4688411371221,25.869791616412,-0.00687206975523977,24.564450396213,24.6890445068276,-0.000169664836041139,-0.0191928547557849,11.5436090402638,1305.83812672667,0.00100768602849196,0.00953119882022985,0.00799828973649596,63.2465351403895,92.1992894542342,71.488039
,,1069,11.7337242427795,0.761877445791157,-1.96010543302599,0.136145416666663,15.4010652337855,0.00743412219256948,0.0704453757495149,98.4804531345331,26.0742959382777,-0.0107231514480335,24.7605553046858,24.8862820023729,-0.000266859370889914,-0.0301877116391305,11.5436090402638,1305.83812672667,0.00101212166345826,0.00959081503365738,0.00814086940981342,63.2546047199627,92.1239037741189,71.345839
,,1070,11.620470007426,0,0,-0.121851333333343,-13.7840874811474,0,0,98.4921302316583,25.888133794472,-0.00893761891563454,24.5853121388506,24.710580985081,-0.000220853756028579,-0.0249834565643189,11.5436090402638,1305.83812672667,0.00100823525869817,0.00954314129120214,0.00807117120014407,63.2627107402677,92.0487198426713,71.267041
,,1071,11.1222352405055,0,0,-0.0341746666666651,-3.86591251885352,0,0,98.5035015842822,25.3609686378225,-0.00863591380829447,24.0833840716488,24.2045940990882,-0.000209028788404478,-0.023645790543493,11.5436090402638,1305.83812672667,0.000976159826810331,0.00944566200311614,0.00777450212293605,63.2706335769292,91.9733908349974,71.508208
,,1072,11.2444177082668,0.997190888314073,-3.91087144918587,0.0996806666666726,11.2760935143295,0.00982116409002343,0.0978327727579147,98.5146849107566,26.0287767509592,-0.0156970697273066,24.7146764615553,24.8350985295262,-0.000389838273302504,-0.0440993521835411,11.5436090402638,1305.83812672667,0.000978980183936321,0.00975203601035803,0.00788599451404932,63.2784638252477,91.8980269689894,71.324775
,,1073,11.2303787761035,0,0,-0.169678250000005,-19.1943721719463,0,0,98.5259223089988,25.9405031033704,-0.0122480746653012,24.6276277339689,24.7470538219102,-0.000303103762956983,-0.0342877559906089,11.5436090402638,1305.83812672667,0.000956541446790112,0.00963192647691456,0.00785158656084671,63.2863326157852,91.822853969244,71.397615
